sentence_index,word_index,word,lex
11,12,وياها,وَيّا
12,0,وضحكت,ضَحَك
12,1,سارة,سارَة
12,2,وحضنت,حَضَن
12,3,امها,اُمّ
12,4,وقالت,قال
12,5,:,:
12,6,ما,ما
12,7,حد,حَدّ
12,8,مثلج,مِثل
12,9,يا,يا
12,10,احلى,اَحلَى
12,11,واروع,اَروَع
12,12,ام,اُمّ
12,13,بالعالم,عالَم
12,14,.,.
12,15,.,.
13,0,ام,اُمّ
13,1,سارة,سارَة
13,2,:,:
13,3,يالله,ياللّٰه
13,4,خلي,خَلَّى
13,5,عنج,عَن
13,6,هالكلام,كَلام
13,7,:,:
13,8,تقول,قال
13,9,حبيبتي,حَبِيب
13,10,سارونة,سارُونَة
13,11,لا,لا
13,12,تنسين,نِسَى
13,13,عزيمة,عَزِيمَة
13,14,خالتج,خال
13,15,لنجاح,نَجاح
13,16,بنته,بِنت
13,17,نورة,نُورَة
13,18,من,مِن
13,19,الثانوية,ثانَوِيّ
14,0,سارة,سارَة
14,1,:,:
14,2,اكيد,اَكِيد
14,3,امي,اُمّ
14,4,مب,مُب
14,5,نسيت,نِسَى
14,6,افا,اَفا
14,7,وانا,اَنا
14,8,اقدر,قَدَّر
14,9,انسى,نِسَى
14,10,نجاح,نَجاح
14,11,نورة,نُورَة
14,12,.,.
15,0,وراحت,راح
15,1,سارة,سارَة
15,2,واتلبست,تِلَبَّس
15,3,ولبست,لَبَس
15,4,احلى,اَحلَى
15,5,ما,ما
15,6,عندها,عِند
15,7,واتمكيجت,تِمَكيَج
15,8,بمكياج,مِكياج
15,9,خفيف,خَفِيف
15,10,وبسيط,بَسِيط
16,0,ام,اُمّ
16,1,سارة,سارَة
16,2,:,:
16,3,دخلت,دَخَل
16,4,على,عَلَى
16,5,سارة,سارَة
16,6,تشوفها,شاف
16,7,خلصت,خَلَّص
16,8,ولا,وِلّا
17,0,وشافت,شاف
17,1,ام,اُمّ
17,2,سارة,سارَة
17,3,سارة,سارَة
17,4,بجمالها,جَمال
17,5,وكشختها,كَشخَة
17,6,وقالت,قال
17,7,لها,لِ
17,8,:,:
17,9,ما,ما
17,10,شاء,شاء
17,11,الله,اللّٰه
17,12,عليج,عَلَى
17,13,يا,يا
17,14,بنتي,بِنت
17,15,طالعت,طالَع
17,16,مثل,مِثل
17,17,القمر,قَمَر
17,18,اقرا,قَرا
17,19,على,عَلَى
17,20,عمرج,عُمر
17,21,يا,يا
17,22,بنتي,بِنت
17,23,اخاف,خاف
17,24,يحسدونج,حَسَد
18,0,سارة,سارَة
18,1,وهي,هِيَ
18,2,مبتسمة,مِبتِسم
18,3,:,:
18,4,على,عَلَى
18,5,شو,شُو
18,6,يحسدوني,حَسَد
18,7,امي,اُمّ
19,0,ام,اُمّ
19,1,سارة,سارَة
19,2,:,:
19,3,سارونة,سارُونَة
19,4,بلا,بَلا
19,5,حركات,حَرَكَة
19,6,تعرفين,عَرَف
19,7,انج,اِنّ
19,8,حلوة,حِلُو
19,9,والكل,كِلّ
19,10,يمدح,مَدَح
19,11,فيج,فِي
19,12,من,مِن
19,13,صغرج,صَغَّر
19,14,:,:
20,0,سارة,سارَة
20,1,"""",""""
20,2,اكيد,اَكِيد
20,3,لأني,اَنّ
20,4,طالعت,طالَع
20,5,على,عَلَى
20,6,امي,اُمّ
20,7,حبيبة,حَبِيب
20,8,عمري,عُمر
21,0,صدقها,صِدق
21,1,الام,اُمّ
21,2,لأن,اَنّ
21,3,سارة,سارَة
21,4,مب,مُب
21,5,بس,بَسّ
21,6,حلوة,حِلُو
21,7,بل,بَل
21,8,فاتنة,فاتِن
21,9,.,.
21,10,.,.
21,11,شعرها,شَعر
21,12,البني,بُنِّي
21,13,على,عَلَى
21,14,العسلي,عَسَلِيّ
21,15,وعيونها,عَين
21,16,العسليات,عَسَلِيّ
21,17,الحلوات,حِلُو
21,18,الوساع,واسِع
21,19,اللي,اِللِي
21,20,كأنها,كَأَنّ
21,21,عيون,عَين
21,22,الغزال,غَزال
21,23,وجسمها,جِسم
21,24,كان,كان
21,25,صدق,صِدق
21,26,متناسق,مُتَناسِق
21,27,كأنها,كَأَنّ
21,28,عارضة,عارِض
21,29,ازياء,زِيّ
21,30,.,.
22,0,ام,اُمّ
22,1,سارة,سارَة
22,2,:,:
22,3,يالله,ياللّٰه
22,4,خلي,خَلَّى
22,5,عنج,عَن
22,6,هالكلام,كَلام
22,7,ويالله,ياللّٰه
22,8,نروح,راح
22,9,تأخرنا,تَأَخَّر
22,10,الدريول,دِرِيوَل
22,11,يترجانا,تِرَجَّى
22,12,في,فِي
22,13,السيارة,سِيّارَة
23,0,وراحوا,راح
23,1,كلهم,كِلّ
23,2,العزيمة,عَزِيمَة
24,0,وكانت,كان
24,1,سارة,سارَة
24,2,احلاهم,اَحلَى
25,0,وجات,جا
25,1,سارة,سارَة
25,2,وسلمت,سَلَّم
25,3,على,عَلَى
25,4,بنت,بِنت
25,5,خالتها,خال
25,6,نورة,نُورَة
25,7,وباركت,بارَك
25,8,لها,لِ
25,9,على,عَلَى
25,10,نجاحها,نَجاح
26,0,نورة,نُورَة
26,1,:,:
26,2,زين,زَين
26,3,جيتي,جا
26,4,شو,شُو
26,5,هالتاخير,تَأخِير
26,6,كله,كِلّ
26,7,؟,؟
27,0,سارة,سارَة
27,1,:,:
27,2,بعد,بَعِد
27,3,تعرفيني,عَرَف
27,4,يوم,يَوم
27,5,اختار,اِختار
27,6,بذلة,بَذلَة
27,7,ولبس,لِبس
27,8,كيف,كَيف
27,9,اتأخر,تِأَخَر
28,0,نورة,نُورَة
28,1,:,:
28,2,بس,بَسّ
28,3,ما,ما
28,4,شاء,شاء
28,5,عليج,عَلَى
28,6,طالعت,طالَع
28,7,قمر,قَمَر
28,8,.,.
28,9,.,.
28,10,غطيتي,غَطَّى
28,11,علي,عَلَى
28,12,.,.
28,13,.,.
29,0,وضحكت,ضَحَك
29,1,سارة,سارَة
30,0,وقالت,قال
30,1,لها,لِ
30,2,سارة,سارَة
30,3,:,:
30,4,ما,ما
30,5,حد,حَدّ
30,6,يغطي,غَطَّى
30,7,على,عَلَى
30,8,رقة,رِقَّة
30,9,وحلاة,حَلاوَة
30,10,بنت,بِنت
30,11,خالتي,خال
30,12,نورة,نُورَة
31,0,وجات,جا
31,1,من,مِن
31,2,وراهم,وَرا
31,3,هند,هِند
31,4,اللي,اِللِي
31,5,هي,هِيَ
31,6,بعد,بَعِد
31,7,بنت,بِنت
31,8,خالتها,خال
31,9,يعني,عَنَى
31,10,اخت,اُخت
31,11,نورة,نُورَة
31,12,وهند,هَند
31,13,اكبر,اَكبَر
31,14,عن,عَن
31,15,سارة,سارَة
31,16,بسنتين,سَنَة
31,17,وهند,هَند
31,18,تغار,غار
31,19,من,مِن
31,20,ساروه,سارُوه
31,21,واجد,واجِد
31,22,لأنها,اَنّ
31,23,احلاهم,اَحلَى
31,24,ولأن,اَنّ
31,25,الكل,كِلّ
31,26,يحبها,حَبّ
31,27,ويحترمها,اِحتَرَم
32,0,جت,جا
32,1,هند,هِند
32,2,وقالت,قال
32,3,لها,لِ
32,4,مب,مُب
32,5,من,مِن
32,6,خاطرها,خاطِر
32,7,"""",""""
32,8,هلا,هَلا
32,9,سارة,سارَة
33,0,سارة,سارَة
33,1,:,:
33,2,هلا,هَلا
33,3,ببنت,بِنت
33,4,خالتي,خال
33,5,هند,هِند
33,6,شو,شُو
33,7,اخبارج,خَبَر
33,8,واخبار,خَبَر
33,9,الدوام,دَوام
34,0,هند,هِند
34,1,:,:
34,2,اكيد,اَكِيد
34,3,تمام,تَمام
35,0,وراحت,راح
35,1,عنها,عَن
35,2,هند,هِند
36,0,سارة,سارَة
36,1,وهي,هِيَ
36,2,مستغربة,مِستَغرِب
36,3,:,:
36,4,بلاها,بَلا
36,5,هند,هِند
36,6,ليش,لَيش
36,7,متضايقة,مِتضايِق
36,8,؟,؟
37,0,نورة,نُورَة
37,1,:,:
37,2,لا,لا
37,3,حبيبتي,حَبِيب
37,4,هند,هِند
37,5,ما,ما
37,6,فيها,فِي
37,7,شي,شَي
37,8,بس,بَسّ
37,9,تعرفين,عَرَف
37,10,كيف,كَيف
37,11,تفكر,فَكَّر
37,12,وهي,هِيَ
37,13,تعرفينها,عَرَف
37,14,من,مِن
37,15,صغرها,صُغر
37,16,تغار,غار
37,17,منج,مِن
38,0,سارة,سارَة
38,1,:,:
38,2,ليش,لَيش
38,3,تغار,غار
38,4,.,.
38,5,.,.
38,6,؟,؟
38,7,هند,هِند
38,8,حلوة,حِلُو
38,9,وزينة,زِينَة
39,0,نورة,نُورَة
39,1,:,:
39,2,بعد,بَعِد
39,3,تعرفين,عَرَف
39,4,البنات,بِنت
39,5,وغيرتهم,غِيرَة
40,0,المهم,مِهِمّ
40,1,خلصت,خَلَّص
40,2,الحفلة,حَفلَة
40,3,والاغلبية,اَغلَبِيَّة
40,4,راحوا,راح
40,5,البيت,بَيت
40,6,الا,اِلّا
40,7,سارة,سارَة
40,8,وامها,اُمّ
41,0,وكانوا,كان
41,1,يتكلمون,تِكَلَّم
41,2,ويضحكون,ضَحَك
41,3,وفجأة,فَجأَة
41,4,دخل,دَخَل
41,5,ولد,وَلَد
41,6,خالتها,خال
41,7,اللي,اِللِي
41,8,هو,هُوَ
41,9,اخوهم,اَخ
41,10,خالد,خالِد
42,0,خالد,خالِد
42,1,كان,كان
42,2,اكبر,اَكبَر
42,3,اخوانه,اَخ
42,4,وكان,كان
42,5,طيب,طَيِّب
42,6,وخلوق,خَلُوق
42,7,ووسيم,وَسِيم
42,8,وكل,كِلّ
42,9,البنات,بِنت
42,10,متخبلين,مِتخَبِّل
42,11,عليه,عَلَى
42,12,ويترجون,تِرَجَّى
42,13,نظرة,نَظرَة
42,14,منه,مِن
42,15,بس,بَسّ
42,16,هو,هُوَ
42,17,قلبه,قَلب
42,18,مب,مُب
42,19,ملك,مِلك
42,20,احد,اَحَد
42,21,غير,غَير
42,22,(,(
42,23,سارة,سارَة
42,24,),)
42,25,.,.
43,0,بعد,بَعِد
43,1,ومن,مِن
43,2,صغره,صُغر
43,3,كان,كان
43,4,متيم,مُتَيَّم
43,5,في,فِي
43,6,سارة,سارَة
43,7,مب,مُب
43,8,بس,بَسّ
43,9,متيم,مُتَيَّم
43,10,بل,بَل
43,11,يموت,مات
43,12,فيها,فِي
43,13,:,:
43,14,ودخل,دَخَل
43,15,وفجأة,فَجأَة
43,16,شاف,شاف
43,17,سارة,سارَة
43,18,.,.
43,19,.,.
43,20,وكان,كان
43,21,يشوفها,شاف
43,22,بنظرات,نَظرَة
43,23,وحب,حِبّ
43,24,ويقول,قال
43,25,في,فِي
43,26,خاطره,خاطِر
43,27,:,:
43,28,سارة,سارَة
43,29,هني,هِنِي
43,30,واخيرا,اَخِير
43,31,وينج,وَين
43,32,يا,يا
43,33,نبض,نَبض
43,34,قلبي,قَلب
43,35,وينج,وَين
43,36,عني,عَن
44,0,والكل,كِلّ
44,1,لاحظ,لاحَظ
44,2,نظراته,نَظرَة
45,0,ونورة,نُورَة
45,1,قالت,قال
45,2,:,:
45,3,الناس,ناس
45,4,يسلمون,سَلَّم
45,5,يا,يا
45,6,خالد,خالِد
46,0,ام,اُمّ
46,1,خالد,خالِد
46,2,:,:
46,3,وين,وَين
46,4,وصلت,وَصَل
46,5,يا,يا
46,6,خالد,خالِد
47,0,هند,هِند
47,1,اختهم,اُخت
47,2,:,:
47,3,هه,هَه
47,4,هه,هَه
47,5,هه,هَه
47,6,اكيد,اَكِيد
47,7,عيونه,عَين
47,8,على,عَلَى
47,9,حبيبته,حَبِيبَة
47,10,سارة,سارَة
47,11,.,.
47,12,وكانت,كان
47,13,هند,هِند
47,14,تشوف,شاف
47,15,سارة,سارَة
47,16,بنظرات,نَظرَة
47,17,كلها,كِلّ
47,18,غيرة,غِيرَة
48,0,وسارة,سارَة
48,1,استحت,اِستَحَى
48,2,واحمرت,اِحمَرّ
48,3,ونزلت,نِزَل
48,4,راسها,راس
48,5,.,.
49,0,خالد,خالِد
49,1,بعد,بَعِد
49,2,استحى,اِستَحَى
49,3,ودعا,دَعا
49,4,على,عَلَى
49,5,هند,هِند
49,6,في,فِي
49,7,خاطره,خاطِر
50,0,خالد,خالِد
50,1,"""",""""
50,2,السلام,سَلام
50,3,عليكم,عَلَى
50,4,اشحالج,اشحالج
50,5,بنت,بِنت
50,6,خالتي,خال
50,7,سارة,سارَة
51,0,سارة,سارَة
51,1,:,:
51,2,الله,اللّٰه
51,3,يعافيك,عافَى
51,4,خالد,خالِد
51,5,انت,اِنتَ
51,6,شو,شُو
51,7,اخبارك,خَبَر
51,8,.,.
52,0,ام,اُمّ
52,1,سارة,سارَة
52,2,:,:
52,3,بس,بَسّ
52,4,سارة,سارَة
52,5,ونحن,نَحنُ
52,6,وين,وَين
52,7,رحنا,راح
53,0,ضحكوا,ضَحَك
53,1,كلهم,كِلّ
53,2,على,عَلَى
53,3,خالد,خالِد
53,4,لان,اِن
53,5,ما,ما
53,6,كان,كان
53,7,يشوف,شاف
53,8,الا,اِلّا
53,9,سارة,سارَة
54,0,وخالد,خالِد
54,1,ابد,اَبَد
54,2,ما,ما
54,3,كان,كان
54,4,يتكلم,تِكَلَّم
54,5,لأنه,اَنّ
54,6,بس,بَسّ
54,7,يريد,اَراد
54,8,يشوف,شاف
54,9,حبيبته,حَبِيبَة
54,10,سارة,سارَة
54,11,.,.
55,0,وقال,قال
55,1,لها,لِ
55,2,وهو,هُوَ
55,3,يشوفها,شاف
55,4,من,مِن
55,5,فوقها,فَوق
55,6,لين,لِين
55,7,تحتها,تَحِت
55,8,.,.
56,0,خالد,خالِد
56,1,:,:
56,2,ما,ما
56,3,شاء,شاء
56,4,الله,اللّٰه
56,5,عليج,عَلَى
56,6,يا,يا
56,7,بنت,بِنت
56,8,خالتي,خال
56,9,طالعت,طالَع
56,10,اليوم,يَوم
56,11,ملاك,مَلأَك
56,12,.,.
57,0,سارة,سارَة
57,1,صدق,صِدق
57,2,وجهها,وَجه
57,3,محمر,مِحمِرّ
57,4,:,:
57,5,عيونك,عَين
57,6,الاحلى,اَحلَى
57,7,بس,بَسّ
57,8,عاد,عاد
57,9,لا,لا
57,10,تبالغ,بالَغ
58,0,خالد,خالِد
58,1,:,:
58,2,وربي,رَبّ
58,3,ما,ما
58,4,ابالغ,بالَغ
58,5,المجنون,مَجنُون
58,6,اذا,اِذا
58,7,شاف,شاف
58,8,جمالج,جَمال
58,9,راح,راح
58,10,يصحى,صَحَى
59,0,نورة,نُورَة
59,1,:,:
59,2,عجل,عَجَّل
59,3,خلا,خَلَّى
59,4,نودي,وَدَّى
59,5,سارة,سارَة
59,6,مستشفى,مِستَشفَى
59,7,المجانين,مَجنُون
59,8,عشان,عَشان
59,9,كلهم,كِلّ
59,10,يصحون,صَحَى
59,11,ويستوون,اِستَوَى
59,12,زينين,زَين
59,13,.,.
60,0,وهني,هِنِي
60,1,الكل,كِلّ
60,2,تم,تَمّ
60,3,يضحك,ضَحَك
61,0,بس,بَسّ
61,1,خالد,خالِد
61,2,كان,كان
61,3,وتفكيره,تَفكِير
61,4,كله,كِلّ
61,5,في,فِي
61,6,سارة,سارَة
61,7,.,.
62,0,ام,اُمّ
62,1,سارة,سارَة
62,2,"""",""""
62,3,يالله,ياللّٰه
62,4,عن,عَن
62,5,اذنكم,اِذن
62,6,بنروح,راح
62,7,البيت,بَيت
62,8,الوقت,وَقِت
62,9,تأخر,تَأَخُّر
63,0,ام,اُمّ
63,1,خالد,خالِد
63,2,:,:
63,3,وين,وَين
63,4,تو,تَوّ
63,5,الناس,ناس
63,6,بعدنا,بَعِد
63,7,ما,ما
63,8,شبعنا,شَبَع
63,9,منكم,مِن
64,0,ام,اُمّ
64,1,سارة,سارَة
64,2,:,:
64,3,الود,وِدّ
64,4,ودنا,وِدّ
64,5,نتم,اَتَمّ
64,6,لين,لِين
64,7,الفجر,فَجر
64,8,بس,بَسّ
64,9,ما,ما
64,10,يصير,صار
65,0,سارة,سارَة
65,1,:,:
65,2,اكيد,اَكِيد
65,3,القعدة,قَعدَة
65,4,وياكم,وَيّا
65,5,ما,ما
65,6,تنمل,اِنمَلّ
65,7,يا,يا
65,8,خالتي,خال
66,0,كلهم,كِلّ
66,1,وقفوا,وِقِف
66,2,وراحوا,راح
66,3,يسلمون,سَلَّم
66,4,علشان,عَلَشان
66,5,يطلعون,طَلَع
66,6,وبعد,بَعِد
66,7,ما,ما
66,8,وصلت,وَصَل
66,9,سارة,سارَة
66,10,عند,عِند
66,11,خالد,خالِد
67,0,.,.
67,1,وهي,هِيَ
67,2,منزلة,مِنَزِّل
67,3,راسها,راس
67,4,:,:
67,5,مع,مَع
67,6,السلامة,سَلامَة
67,7,يا,يا
67,8,ولد,وَلَد
67,9,خالتي,خال
68,0,خالد,خالِد
68,1,وعيونه,عَين
68,2,على,عَلَى
68,3,سارة,سارَة
68,4,:,:
68,5,مع,مَع
68,6,السلامة,سَلامَة
68,7,يا,يا
68,8,القمر,قَمَر
68,9,اوه,اَوه
68,10,قصدي,قَصد
68,11,يا,يا
68,12,بنت,بِنت
68,13,خالتي,خال
69,0,وعلى,عَلَى
69,1,طول,طُول
69,2,سارة,سارَة
69,3,طلعت,طَلَع
69,4,لأنها,اَنّ
69,5,صدق,صِدق
69,6,استحت,اِستَحَى
69,7,وما,ما
69,8,تعرف,عَرَف
69,9,كيف,كَيف
69,10,ترد,رَدّ
69,11,على,عَلَى
69,12,كلمات,كِلمَة
69,13,خالد,خالِد
69,14,العذبة,عَذب
69,15,.,.
70,0,وبعد,بَعِد
70,1,ما,ما
70,2,وصلت,وَصَل
70,3,سارة,سارَة
70,4,البيت,بَيت
71,0,كانت,كان
71,1,تفكر,فَكَّر
71,2,في,فِي
71,3,ولد,وَلَد
71,4,خالتها,خال
71,5,خالد,خالِد
71,6,ونظراته,نَظرَة
71,7,وكلماته,كِلمَة
71,8,الساحرة,ساحِر
71,9,.,.
72,0,اما,اَمّا
72,1,خالد,خالِد
72,2,فكان,كان
72,3,هاليوم,يَوم
72,4,احلى,اَحلَى
72,5,يوم,يَوم
72,6,عنده,عِند
72,7,وفرحان,فَرحان
72,8,لان,اِن
72,9,شاف,شاف
72,10,حبيبته,حَبِيبَة
72,11,سارة,سارَة
73,0,كانت,كان
73,1,تفكر,فَكَّر
73,2,في,فِي
73,3,ولد,وَلَد
73,4,خالتها,خال
73,5,خالد,خالِد
73,6,ونظراته,نَظرَة
73,7,وكلماته,كِلمَة
73,8,الساحرة,ساحِر
73,9,.,.
74,0,اما,اَمّا
74,1,خالد,خالِد
74,2,فكان,كان
74,3,هاليوم,يَوم
74,4,احلى,اَحلَى
74,5,يوم,يَوم
74,6,عنده,عِند
74,7,وفرحان,فَرحان
74,8,لان,اِن
74,9,شاف,شاف
74,10,حبيبته,حَبِيبَة
74,11,سارة,سارَة
74,12,لأن,اَنّ
74,13,من,مِن
74,14,هو,هُوَ
74,15,صغير,صِغِير
74,16,يحبها,حَبّ
74,17,.,.
74,18,.,.
75,0,وراح,راح
75,1,عند,عِند
75,2,امه,اُمّ
75,3,باخر,اخَر
75,4,الليل,لَيلَة
76,0,وتم,تَمّ
76,1,يدق,دَقّ
76,2,الباب,باب
76,3,على,عَلَى
76,4,غرفة,غُرفَة
76,5,امه,اُمّ
77,0,خالد,خالِد
77,1,:,:
77,2,امي,اُمّ
77,3,امي,اُمّ
77,4,افتحي,فَتَح
77,5,الباب,باب
78,0,ام,اُمّ
78,1,خالد,خالِد
78,2,:,:
78,3,مستغربة,مِستَغرِب
78,4,:,:
78,5,خالد,خالِد
78,6,شو,شُو
78,7,فيك,فِي
78,8,وين,وَين
78,9,يعورك,عَوَّر
78,10,شو,شُو
78,11,فيهم,فِي
78,12,اخواتك,اُخت
78,13,.,.
78,14,.,.
78,15,؟,؟
79,0,خالد,خالِد
79,1,:,:
79,2,باسم,اِسِم
79,3,الله,اللّٰه
79,4,عليج,عَلَى
79,5,امي,اُمّ
79,6,ما,ما
79,7,فينا,فِي
79,8,شي,شَي
80,0,ام,اُمّ
80,1,خالد,خالِد
80,2,:,:
80,3,عجل,عَجَّل
80,4,ليش,لَيش
80,5,جاي,جايّ
80,6,هالوقت,وَقِت
80,7,تعرف,عَرَف
80,8,ساعة,ساعَة
80,9,كم,كَم
81,0,خالد,خالِد
81,1,هي,هِيَ
81,2,الساعة,ساعَة
81,3,2,ضIگIط
81,4,ونص,نُصّ
81,5,شو,شُو
81,6,يعني,عَنَى
81,7,.,.
81,8,.,.
81,9,المهم,مِهِمّ
81,10,امي,اُمّ
81,11,الله,اللّٰه
81,12,يخليج,خَلَّى
81,13,ابي,بِغِي
81,14,اقولج,قال
81,15,شي,شَي
82,0,ام,اُمّ
82,1,خالد,خالِد
82,2,فتحت,فَتَح
82,3,الباب,باب
82,4,وهي,هِيَ
82,5,مستغربة,مِستَغرِب
82,6,من,مِن
82,7,خالد,خالِد
82,8,وتشوفه,شاف
82,9,بنظرات,نَظرَة
82,10,غريبة,غَرِيب
83,0,ام,اُمّ
83,1,خالد,خالِد
83,2,:,:
83,3,قول,قال
83,4,اللي,اِللِي
83,5,عندك,عِند
83,6,يا,يا
83,7,خالد,خالِد
83,8,شو,شُو
83,9,فيك,فِي
83,10,؟,؟
84,0,خالد,خالِد
84,1,امي,اُمّ
84,2,تعرفين,عَرَف
84,3,اني,اِنّ
84,4,احب,حَبّ
84,5,سارة,سارَة
84,6,بنت,بِنت
84,7,خالتي,خال
84,8,من,مِن
84,9,صغري,صِغِر
84,10,ويا,وَيّا
84,11,هالوقت,وَقِت
84,12,اللي,اِللِي
84,13,تخطبينها,خَطَب
84,14,لي,لِ
84,15,امي,اُمّ
84,16,اخاف,خاف
84,17,احد,اَحَد
84,18,ياخذها,اَخِذ
84,19,مني,مِن
84,20,واذا,اِذا
84,21,احد,اَحَد
84,22,خذها,اَخِذ
84,23,باموت,مات
84,24,يا,يا
84,25,امي,اُمّ
84,26,تعرفين,عَرَف
84,27,شو,شُو
84,28,يعني,عَنَى
84,29,باموت,مات
84,30,.,.
85,0,ام,اُمّ
85,1,خالد,خالِد
85,2,وهي,هِيَ
85,3,تضحك,ضَحَك
85,4,على,عَلَى
85,5,خالد,خالِد
85,6,.,.
85,7,باسم,اِسِم
85,8,الله,اللّٰه
85,9,عليك,عَلَى
85,10,من,مِن
85,11,الموت,مَوت
85,12,يا,يا
85,13,خالد,خالِد
86,0,الله,اللّٰه
86,1,ياخذ,اَخِذ
86,2,ابليسك,اِبلِيس
86,3,يا,يا
86,4,خالد,خالِد
86,5,موعينا,مِوَعي
86,6,هالوقت,وَقِت
86,7,علشان,عَلَشان
86,8,هالسالفة,سالفَة
86,9,.,.
86,10,.,.
86,11,لا,لا
86,12,تخاف,خاف
86,13,سارة,سارَة
86,14,ان,اِن
86,15,شاء,شاء
86,16,الله,اللّٰه
86,17,ما,ما
86,18,بتكون,كان
86,19,الا,اِلّا
86,20,لك,لِ
87,0,خالد,خالِد
87,1,:,:
87,2,ابيج,بِغِي
87,3,تكلمين,كَلَّم
87,4,امها,اُمّ
87,5,باكر,باكِر
87,6,اوكيه,اَوكَيه
88,0,ام,اُمّ
88,1,خالد,خالِد
88,2,:,:
88,3,خلاص,خَلاص
88,4,حبيبي,حَبِيب
88,5,تم,تَمّ
88,6,بس,بَسّ
88,7,انت,اِنتَ
88,8,روح,راح
88,9,نام,نام
88,10,الحين,حِين
89,0,الجزء,جُزء
89,1,الثاني,ثانِي
90,0,:,:
91,0,وفي,فِي
91,1,اليوم,يَوم
91,2,الثاني,ثانِي
91,3,قامت,قام
91,4,سارة,سارَة
91,5,وراحت,راح
91,6,عند,عِند
91,7,امها,اُمّ
92,0,سارة,سارَة
92,1,:,:
92,2,صباح,صَباح
92,3,الخير,خَير
